Scientific Name,Local Name,Aquarium Demand met by,Occurrence,Other Name
Heniochus chrysostomus,,based mainly on capture,native,Threeband pennantfish
Heniochus diphreutes,,based mainly on capture,native,False moorish idol
Heniochus monoceros,,based mainly on capture,native,Masked bannerfish
Heniochus singularius,,based mainly on capture,native,Singular bannerfish
Heniochus varius,,based mainly on capture,native,Horned bannerfish
Heteroconger hassi,Spotted garden eel,,native,Spotted garden-eel
Heteropriacanthus cruentatus,,based mainly on capture,native,Glasseye
Heteroscarus acroptilus,Rainbow cale,based mainly on capture,native,Rainbow cale
Himantura uarnak,Reticulate whipray,based mainly on capture,native,Honeycomb stingray
Hippichthys heptagonus,,,native,Belly pipefish
Hippocampus histrix,,based mainly on capture,native,Thorny seahorse
Hippocampus kuda,Spotted seahorse,based mainly on capture,native,Spotted seahorse
Hologymnosus annulatus,,based mainly on capture,native,Ring wrasse
Hologymnosus doliatus,,based mainly on capture,native,Pastel ringwrasse
Hoplolatilus cuniculus,,,native,Dusky tilefish
Hoplolatilus starcki,,,native,Stark's tilefish
Hypseleotris aurea,,based mainly on breeding,endemic,Golden carp gudgeon
Hypseleotris compressa,Empire gudgeon,,native,Empire gudgeon
Iniistius aneitensis,,based mainly on capture,native,Yellowblotch razorfish
Iniistius dea,,based mainly on capture,native,Blackspot razorfish
Iniistius pavo,,based mainly on capture,native,Peacock wrasse
Iniistius pentadactylus,Fivefinger razorfish,based mainly on capture,native,Fivefinger wrasse
Inimicus didactylus,,based mainly on capture,native,Bearded ghoul
Iriatherina werneri,Threadfin rainbowfish,,native,Threadfin rainbowfish
Istiblennius edentulus,Coral blenny,based mainly on capture,native,Rippled rockskipper
Istiblennius lineatus,,based mainly on capture,native,Lined rockskipper
Istigobius decoratus,,based mainly on capture,native,Decorated goby
Istigobius goldmanni,,based mainly on capture,native,Goldman's goby
Istigobius hoesei,,,native,Hoese's sandgoby
Istigobius nigroocellatus,Black-spotted goby,based mainly on capture,native,Black-spotted goby
Istigobius ornatus,,,native,Ornate goby
Jordanella floridae,American Flagfish,based mainly on breeding,introduced,Flagfish
Koumansetta hectori,,based mainly on capture,misidentification,Hector's goby
Koumansetta rainfordi,Old glory,,native,Old glory
Labracinus lineatus,,,endemic,Lined dottyback
Labrichthys unilineatus,,based mainly on capture,native,Tubelip wrasse
Labroides bicolor,,based mainly on capture,native,Bicolor cleaner wrasse
Labroides dimidiatus,,based mainly on capture,native,Bluestreak cleaner wrasse
Labroides pectoralis,,based mainly on capture,native,Blackspot cleaner wrasse
Labropsis manabei,,,native,Northern tubelip
Labropsis xanthonota,Yellowback tubelip,based mainly on capture,native,Yellowback tubelip
Lactoria cornuta,Longhorn cowfish,based mainly on capture,native,Longhorn cowfish
Lactoria diaphana,Roundbelly cowfish,based mainly on capture,native,Roundbelly cowfish
Lactoria fornasini,,based mainly on capture,native,Thornback cowfish
Lagocephalus lunaris,,,native,Lunartail puffer
Lagocephalus sceleratus,North-West blowfish,,native,Silver-cheeked toadfish
Leiopotherapon aheneus,Fortescus grunter,based mainly on capture,endemic,Fortescus grunter
Lepidozygus tapeinosoma,Fusiler damsel,based mainly on capture,native,Fusilier damselfish
Leptojulis cyanopleura,,based mainly on capture,native,Shoulder-spot wrasse
Leptoscarus vaigiensis,,based mainly on capture,native,Marbled parrotfish
Liocranium praepositum,Blackspot waspfish,based mainly on capture,native,Blackspot waspfish
Lobotes surinamensis,,,native,Tripletail
Lubbockichthys multisquamatus,,,native,Fine-scaled dottyback
Lutjanus decussatus,,based mainly on capture,native,Checkered snapper
Lutjanus fulvus,,based mainly on capture,native,Blacktail snapper
Lutjanus quinquelineatus,,based mainly on capture,native,Five-lined snapper
Luzonichthys waitei,,,native,Waite's splitfin
Macolor niger,,,native,Black and white snapper
Macropharyngodon choati,Choat's wrasse,,native,Choat's wrasse
Macropharyngodon kuiteri,Kuiter's wrasse,,native,Black leopard wrasse
Macropharyngodon meleagris,,based mainly on capture,native,Blackspotted wrasse
Macropharyngodon negrosensis,,based mainly on capture,native,Yellowspotted wrasse
Macropharyngodon ornatus,,based mainly on capture,native,False leopard
Mahidolia mystacina,,based mainly on capture,native,Flagfin prawn goby
Malacanthus brevirostris,Flagtail blanquillo,based mainly on capture,native,Quakerfish
Malacanthus latovittatus,Blue blanquillo,based mainly on capture,native,Blue blanquillo
Manonichthys splendens,Splendid dottyback,,misidentification,Splendid dottyback
Meiacanthus atrodorsalis,,based mainly on capture,native,Forktail blenny
Meiacanthus grammistes,,based mainly on capture,native,Striped poison-fang blenny
Melanotaenia australis,,,endemic,Western rainbowfish
Melanotaenia maccullochi,,based mainly on breeding,native,Macculloch's rainbowfish
Melanotaenia nigrans,,based mainly on breeding,endemic,Blackbanded rainbowfish
Melanotaenia sahulensis,,based mainly on capture,native,Sahul rainbowfish
Melanotaenia trifasciata,Banded rainbowfish,,endemic,Banded rainbowfish
Melanotaenia wilsoni,,based mainly on capture,native,Little rainbowfish
Melichthys vidua,,based mainly on capture,native,Pinktail triggerfish
Microcanthus strigatus,Stripey,based mainly on capture,native,Stripey
Microphis brachyurus,,based mainly on capture,native,Short-tailed pipefish
Mirolabrichthys tuka,,,native,Yellowstriped fairy basslet
Misgurnus anguillicaudatus,,based mainly on capture,introduced,Pond loach
Monocentris japonica,,based mainly on capture,native,Pineconefish
Monodactylus argenteus,,based mainly on capture,native,Silver moony
Monopterus albus,,,native,Asian swamp eel
Monotaxis grandoculis,,based mainly on capture,native,Humpnose big-eye bream
Mulloidichthys flavolineatus,Yellowstripe goatfish,,native,Yellowstripe goatfish
Myrichthys maculosus,,based mainly on capture,native,Tiger snake eel
Myripristis amaena,,,native,Brick soldierfish
Myripristis berndti,Bigscale soldierfish,based mainly on capture,native,Blotcheye soldierfish
Myripristis kuntee,Epaulette soldierfish,based mainly on capture,native,Shoulderbar soldierfish
Myripristis murdjan,,based mainly on capture,native,Pinecone soldierfish
Naso annulatus,,,native,Whitemargin unicornfish
Naso brachycentron,Humpback unicornfish,based mainly on capture,native,Humpback unicornfish
Naso brevirostris,Spotted unicornfish,based mainly on capture,native,Spotted unicornfish
Naso hexacanthus,Sleek unicornfish,based mainly on capture,native,Sleek unicornfish
Naso lituratus,,based mainly on capture,native,Orangespine unicornfish
Naso lopezi,Elongate unicornfish,based mainly on capture,native,Elongate unicornfish
Naso thynnoides,,,native,Oneknife unicornfish
Naso unicornis,Bluespine unicornfish,based mainly on capture,native,Bluespine unicornfish
Naso vlamingii,,based mainly on capture,native,Bignose unicornfish
Neatypus obliquus,Footballer sweep,,native,Western footballer
Nemanthias bicolor,,based mainly on capture,native,Bicolor anthias
Nemanthias dispar,,based mainly on capture,native,Peach fairy basslet
Nemateleotris decora,Elegant firefish,based mainly on capture,native,Elegant firefish
Nemateleotris magnifica,Fire dartfish,based mainly on capture,native,Fire goby
Neocirrhites armatus,Flame hawkfish,based mainly on capture,native,Flame hawkfish
Neoglyphidodon oxyodon,,based mainly on capture,native,Bluestreak damselfish
Neoniphon sammara,,,native,Sammara squirrelfish
Neoodax balteatus,,based mainly on capture,native,Little weed whiting
Neopomacentrus azysron,,based mainly on capture,native,Yellowtail demoiselle
Neosilurus ater,Black catfish,based mainly on capture,native,Narrowfront tandan
Neotrygon kuhlii,,based mainly on capture,misidentification,Blue-spotted stingray
Novaculichthys taeniourus,,based mainly on capture,native,Rockmover wrasse
Novaculoides macrolepidotus,,based mainly on capture,native,Seagrass wrasse
Odonus niger,,based mainly on capture,native,Red-toothed triggerfish
Ogilbyina novaehollandiae,,,endemic,Multicolour dottyback
Ogilbyina queenslandiae,Queensland dottyback,,endemic,Queensland dottyback
Olisthops cyanomelas,,based mainly on capture,native,Herring cale
Omobranchus elongatus,,based mainly on capture,native,Cloister blenny
Omobranchus ferox,,based mainly on capture,native,Gossamer blenny
Ophiocara porocephala,Northern mud gudgeon,based mainly on capture,native,Northern mud gudgeon
Ophisternon candidum,Blind cave eel,based mainly on capture,endemic,Blind cave eel
Opistognathus jacksoniensis,,,native,Smiler
Opistognathus latitabundus,Blotched jawfish,,native,Blotched jawfish
Oplopomus oplopomus,Spinecheek goby,based mainly on capture,native,Spinecheek goby
Ostorhinchus aureus,,based mainly on capture,native,Ring-tailed cardinalfish
Ostorhinchus cyanosoma,,based mainly on breeding,native,Yellowstriped cardinalfish
Ostorhinchus hartzfeldii,,,native,Hartzfeld's cardinalfish
Ostorhinchus taeniophorus,,,native,Reef-flat cardinalfish
Ostracion cubicum,,based mainly on capture,native,Yellow boxfish
Ostracion meleagris,,based mainly on capture,native,Whitespotted boxfish
Ostracion solorense,,,native,Reticulate boxfish
Oxycercichthys veliferus,Sailfin dottyback,,endemic,Sailfin dottyback
Oxycheilinus bimaculatus,,based mainly on capture,native,Two-spot wrasse
Oxycheilinus celebicus,,based mainly on capture,native,Celebes wrasse
Oxycheilinus digramma,,based mainly on capture,native,Cheeklined wrasse
Oxycheilinus orientalis,,based mainly on capture,native,Oriental maori wrasse
Oxycheilinus unifasciatus,Ringtail maori wrasse,based mainly on capture,native,Ringtail maori wrasse
Oxycirrhites typus,Longnose hawkfish,based mainly on capture,native,Longnose hawkfish
Oxyeleotris aruensis,Aru gudgeon,based mainly on capture,native,Aru gudgeon
Oxymetopon compressus,,based mainly on capture,native,Robust ribbongoby
Oxymonacanthus longirostris,Beaked leatherjacket,based mainly on capture,native,Harlequin filefish
Oxyurichthys microlepis,,based mainly on capture,native,Maned goby
Paracanthurus hepatus,,based mainly on capture,native,Palette surgeonfish
Paracentropogon longispinis,,based mainly on capture,native,Wispy waspfish
Paracentropyge multifasciata,,based mainly on capture,native,Barred angelfish
Parachaetodon ocellatus,,based mainly on capture,native,Sixspine butterflyfish
Paracheilinus filamentosus,,based mainly on capture,native,Filamentous wrasse
Paracirrhites arcatus,,based mainly on capture,native,Arc-eye hawkfish
Paracirrhites forsteri,,based mainly on capture,native,Blackside hawkfish
Paragobiodon echinocephalus,,based mainly on capture,native,Redhead goby
Paragobiodon xanthosoma,,based mainly on capture,native,Emerald coral goby
Parapercis hexophtalma,,based mainly on capture,error,Speckled sandperch
Parapercis nebulosa,Barred sandperch,based mainly on capture,native,Barred sandperch
Parapercis schauinslandii,,based mainly on capture,native,Redspotted sandperch
Parapercis xanthozona,,based mainly on capture,native,Yellowbar sandperch
Paraplesiops alisonae,,,endemic,Alison's blue devil
Paraplesiops bleekeri,Eastern blue devil,,endemic,Eastern blue devil
Paraplesiops meleagris,,,endemic,Southern blue devil
Paraplesiops poweri,,,native,Northern blue devil
Paratrypauchen microcephalus,,based mainly on capture,native,Comb goby
Parma polylepis,Banded scalyfin,based mainly on capture,native,Banded parma
Parupeneus barberinoides,Bicolour goatfish,based mainly on capture,native,Bicolor goatfish
Parupeneus barberinus,,based mainly on capture,native,Dash-and-dot goatfish
Parupeneus cyclostomus,Goldsaddle goatfish,based mainly on capture,native,Gold-saddle goatfish
Parupeneus multifasciatus,,based mainly on capture,native,Manybar goatfish
Parupeneus pleurostigma,Sidespot goatfish,based mainly on capture,native,Sidespot goatfish
Pastinachus sephen,Cowtail stingray,based mainly on capture,error,Cowtail stingray
Pelmatolapia mariae,,based mainly on breeding,introduced,Spotted tilapia
Pempheris adusta,,,native,Dusky sweeper
Pempheris oualensis,,,native,Blackspot sweeper
Pentaceros japonicus,,based mainly on capture,native,Japanese armorhead
Periophthalmus argentilineatus,,based mainly on capture,native,Barred mudskipper
Periophthalmus barbarus,Mud-hopper,based mainly on capture,native,Atlantic mudskipper
Pervagor melanocephalus,,based mainly on capture,native,Redtail filefish
Petroscirtes mitratus,,based mainly on capture,native,Floral blenny
Petroscirtes xestus,,based mainly on capture,native,Xestus sabretooth blenny
Photoblepharon palpebratum,,based mainly on capture,native,Eyelight fish
Pictichromis coralensis,,based mainly on capture,native,Bicoloured dottyback
Pictichromis paccagnellorum,Royal dottyback,based mainly on capture,native,Royal dottyback
Pingalla gilberti,Gilbert's grunter,based mainly on capture,endemic,Gilbert's grunter
Plagiotremus rhinorhynchos,Bluestriped fangblenny,based mainly on capture,native,Bluestriped fangblenny
Plagiotremus tapeinosoma,Piano fangblenny,based mainly on capture,native,Piano fangblenny
Platax batavianus,Hump-headed batfish,,native,Humpback batfish
Platax orbicularis,,based mainly on capture,native,Orbicular batfish
Platax pinnatus,,based mainly on capture,native,Dusky batfish
Platax teira,,based mainly on breeding,native,Longfin batfish
Plectorhinchus albovittatus,,based mainly on capture,questionable,Two-striped sweetlips
Plectorhinchus lineatus,,based mainly on capture,native,Yellowbanded sweetlips
Plectorhinchus pictus,,based mainly on capture,native,Trout sweetlips
Plectorhinchus picus,,,native,Painted sweetlip
Plectranthias bennetti,,,native,Bennett’s perchlet
Plectroglyphidodon dickii,Dick's damsel,based mainly on capture,native,Blackbar devil
Plectroglyphidodon imparipennis,,based mainly on capture,native,Brighteye damselfish
Plectroglyphidodon johnstonianus,,based mainly on capture,native,Johnston Island damsel
Plectroglyphidodon leucozonus,Whiteband damsel,based mainly on capture,native,Singlebar devil
Plectroglyphidodon phoenixensis,Phoenix damsel,based mainly on capture,native,Phoenix devil
Plesiops coeruleolineatus,,,native,Crimsontip longfin
Plesiops corallicola,,,native,Bluegill longfin
Plotosus lineatus,,based mainly on capture,native,Striped eel catfish
Poecilia reticulata,Guppy,based mainly on breeding,introduced,Guppy
Pomacanthus imperator,,based mainly on capture,native,Emperor angelfish
Pomacanthus navarchus,,based mainly on capture,native,Bluegirdled angelfish
Pomacanthus semicirculatus,,based mainly on capture,native,Semicircle angelfish
Pomacanthus sexstriatus,,based mainly on capture,native,Sixbar angelfish
Pomacanthus xanthometopon,,based mainly on capture,native,Yellowface angelfish
Pomacentrus bankanensis,Speckled damsel,based mainly on capture,native,Speckled damselfish
Pomacentrus coelestis,Neon damsel,based mainly on capture,native,Neon damselfish
Pomacentrus moluccensis,Lemon damsel,based mainly on capture,native,Lemon damsel
Pomacentrus nagasakiensis,,based mainly on capture,native,Nagasaki damsel
Pomacentrus philippinus,,based mainly on capture,native,Philippine damsel
Pomacentrus vaiuli,Princess damsel,based mainly on capture,native,Ocellate damselfish
Priacanthus blochii,,,native,Paeony bulleye
Priacanthus hamrur,,based mainly on capture,native,Moontail bullseye
Priolepis cincta,,based mainly on capture,native,Banded reef goby
Priolepis semidoliata,,based mainly on capture,native,Half-barred goby
Prionurus maculatus,,,native,Yellowspotted sawtail
Prionurus microlepidotus,,,native,Sixplate sawtail
Pristiapogon kallopterus,,based mainly on capture,native,Iridescent cardinalfish
Pristotis obtusirostris,Gulf damsel,based mainly on capture,native,Gulf damselfish
Pseudanthias huchtii,,,native,Red-cheeked fairy basslet
Pseudanthias hypselosoma,,,native,Stocky anthias
Pseudanthias luzonensis,,,native,Yellowlined anthias
Pseudanthias pictilis,,,native,Painted anthias
Pseudanthias squamipinnis,,based mainly on capture,native,Sea goldie
Pseudaphritis urvillii,Congolli,,endemic,Congolli
Pseudobalistes flavimarginatus,,,native,Yellowmargin triggerfish
Pseudobalistes fuscus,,based mainly on capture,native,Yellow-spotted triggerfish
Pseudocheilinus evanidus,,based mainly on capture,native,Striated wrasse
Pseudocheilinus hexataenia,,based mainly on capture,native,Sixline wrasse
Pseudocheilinus octotaenia,,based mainly on capture,native,Eight-lined wrasse
Pseudochromis cyanotaenia,,,native,Surge dottyback
Pseudochromis fuscus,,,native,Brown dottyback
Pseudocoris yamashiroi,,based mainly on capture,native,Redspot wrasse
Pseudodax moluccanus,,based mainly on capture,native,Chiseltooth wrasse
Pseudojuloides cerasinus,,based mainly on capture,misidentification,Smalltail wrasse
Pseudojuloides elongatus,Long green wrasse,based mainly on capture,native,Long green wrasse
Pseudolabrus luculentus,,based mainly on capture,native,Orange wrasse
Pseudomugil gertrudae,,,native,Spotted blue-eye
Pseudomugil mellis,,based mainly on breeding,endemic,Honey blue eye
Pseudoplesiops typus,,,native,Hidden basslet
Pseudotriacanthus strigilifer,Blotched tripodfish,,native,Long-spined tripodfish
Pteragogus cryptus,Cryptic wrasse,,native,Cryptic wrasse
Pteragogus flagellifer,,based mainly on capture,questionable,Cocktail wrasse
Ptereleotris evides,,based mainly on capture,native,Blackfin dartfish
Ptereleotris grammica,Lined dartfish,,native,Lined dartfish
Ptereleotris hanae,,based mainly on capture,native,Blue hana goby
Ptereleotris heteroptera,,based mainly on capture,native,Blacktail goby
Ptereleotris microlepis,,based mainly on capture,native,Blue gudgeon
Ptereleotris monoptera,,based mainly on capture,native,Lyre-tail dart-goby
Ptereleotris uroditaenia,,,native,Flagtail dartfish
Ptereleotris zebra,,based mainly on capture,native,Chinese zebra goby
Pterois antennata,,based mainly on capture,native,Broadbarred firefish
Pterois volitans,,based mainly on capture,native,Red lionfish
Pterygotrigla polyommata,Latchet,based mainly on capture,native,Latchet
Pycnochromis amboinensis,,based mainly on capture,native,Ambon chromis
Pycnochromis atripes,,based mainly on capture,native,Dark-fin chromis
Pycnochromis iomelas,,based mainly on capture,native,Half-and-half chromis
Pycnochromis lineatus,,based mainly on capture,native,Lined chromis
Pycnochromis margaritifer,,based mainly on capture,native,Bicolor chromis
Pycnochromis pacifica,,based mainly on capture,native,Pacific bronze Chromis
Pycnochromis vanderbilti,,based mainly on capture,native,Vanderbilt's chromis
Pygoplites diacanthus,,based mainly on capture,native,Regal angelfish
Pyronotanthias lori,,,native,Lori's anthias
Pyronotanthias smithvanizi,,,native,Princess anthias
Rhinecanthus aculeatus,,based mainly on capture,native,White-banded triggerfish
Rhinecanthus rectangulus,,based mainly on capture,native,Wedge-tail triggerfish
Rhinecanthus verrucosus,,based mainly on capture,native,Blackbelly triggerfish
Rhinomuraena quaesita,Ribbon eel,based mainly on capture,native,Ribbon moray
Rhinopias eschmeyeri,,based mainly on capture,native,Eschmeyer's scorpionfish
Rhinopias frondosa,,based mainly on capture,native,Weedy scorpionfish
Roa modesta,,based mainly on capture,misidentification,Brown-banded butterflyfish
Salarias ceramensis,,based mainly on capture,native,Seram blenny
Salarias fasciatus,,based mainly on capture,native,Jewelled blenny
Salarias guttatus,,based mainly on capture,native,Breast-spot blenny
Sargocentron caudimaculatum,,,native,Silverspot squirrelfish
Sargocentron diadema,Crown squirrelfish,based mainly on capture,native,Crown squirrelfish
Sargocentron punctatissimum,,based mainly on capture,native,Speckled squirrelfish
Scarus dimidiatus,,based mainly on capture,native,Yellowbarred parrotfish
Scarus flavipectoralis,Yellowfin parrotfish,based mainly on capture,native,Yellowfin parrotfish
Scarus globiceps,,,native,Globehead parrotfish
Scarus niger,,based mainly on capture,native,Dusky parrotfish
Scarus oviceps,,based mainly on breeding,native,Dark capped parrotfish
Scarus prasiognathos,,based mainly on capture,native,Singapore parrotfish
Scarus psittacus,Palenose parrotfish,based mainly on capture,native,Common parrotfish
Scarus rubroviolaceus,,based mainly on capture,native,Ember parrotfish
Scarus schlegeli,Schlegel's parrotfish,based mainly on capture,native,Yellowband parrotfish
Scarus tricolor,,based mainly on capture,native,Tricolour parrotfish
Scatophagus tetracanthus,,,native,Scatty
Schismatogobius deraniyagalai,,based mainly on capture,native,Redneck goby
Scleropages jardinii,,based mainly on capture,native,Australian bonytongue
Scolopsis bilineata,,based mainly on capture,native,Two-lined monocle bream
Scolopsis lineata,,based mainly on capture,native,Striped monocle bream
Scorpaenodes parvipinnis,,based mainly on capture,native,Lowfin scorpionfish
Scorpaenopsis diabolus,False stonefish,based mainly on capture,native,False stonefish
Selenotoca multifasciata,,based mainly on capture,native,Spotbanded scat
Serranocirrhitus latus,,,native,Hawkfish anthias
Siganus argenteus,,,native,Streamlined spinefoot
Siganus corallinus,Coral rabbitfish,,native,Blue-spotted spinefoot
Siganus guttatus,,,native,Orange-spotted spinefoot
Siganus javus,Java rabbitfish,,native,Streaked spinefoot
Siganus lineatus,Goldlined rabbitfish,,native,Golden-lined spinefoot
Siganus puellus,Bluelined rabbitfish,,native,Masked spinefoot
Siganus spinus,,,native,Little spinefoot
Siganus unimaculatus,,based mainly on capture,native,Blotched foxface
Siganus vermiculatus,,based mainly on capture,native,Vermiculated spinefoot
Siganus virgatus,,based mainly on capture,native,Barhead spinefoot
Siganus vulpinus,,based mainly on capture,native,Foxface
Signigobius biocellatus,,based mainly on capture,native,Twinspot goby
Siphonognathus argyrophanes,Tubemouth,based mainly on capture,native,Tubemouth
Siphonognathus radiatus,,based mainly on capture,native,Long-rayed weed whiting
Solenostomus armatus,,,native,Armored pipefish
Sphaeramia nematoptera,,based mainly on capture,native,Pajama cardinalfish
Stanulus seychellensis,,based mainly on capture,native,Seychelle's blenny
Stanulus talboti,Talbot's blenny,based mainly on capture,native,Talbot's blenny
Stegastes lacrymatus,Jewel damsel,based mainly on capture,native,Whitespotted devil
Stethojulis bandanensis,,based mainly on capture,native,Red shoulder wrasse
Stethojulis interrupta,,based mainly on capture,native,Cutribbon wrasse
Stethojulis strigiventer,,based mainly on capture,native,Three-ribbon wrasse
Stethojulis trilineata,,based mainly on capture,native,Three-lined rainbowfish
Stonogobiops xanthorhinicus,,based mainly on capture,native,Yellownose prawn-goby
Suezichthys gracilis,,based mainly on capture,native,Slender wrasse
Sufflamen bursa,,based mainly on capture,native,Boomerang triggerfish
Sufflamen chrysopterum,,based mainly on capture,native,Halfmoon triggerfish
Sufflamen fraenatum,,based mainly on capture,native,Masked triggerfish
Symphorichthys spilurus,,based mainly on capture,native,Sailfin snapper
Synchiropus morrisoni,Morrison's dragonet,,native,Morrison's dragonet
Synchiropus ocellatus,,,native,Ocellated dragonet
Synchiropus picturatus,,based mainly on capture,native,Picturesque dragonet
Synchiropus splendidus,Mandarinfish,based mainly on capture,native,Mandarinfish
Syncomistes rastellus,Drysdale grunter,based mainly on capture,endemic,Drysdale grunter
Taenianotus triacanthus,Leaf scorpionfish,based mainly on capture,native,Leaf scorpionfish
Taeniura lymma,,based mainly on capture,native,Ribbontail stingray
Tandanus tandanus,Freshwater catfish,,endemic,Australian freshwater catfish
Thalassoma amblycephalum,,based mainly on capture,native,Bluntheaded wrasse
Thalassoma hardwicke,Sixbar wrasse,based mainly on capture,native,Sixbar wrasse
Thalassoma jansenii,Jansen's wrasse,based mainly on capture,native,Jansen's wrasse
Thalassoma lunare,Moon wrasse,based mainly on capture,native,Moon wrasse
Thalassoma lutescens,,based mainly on capture,native,Yellow-brown wrasse
Thalassoma purpureum,Surge wrasse,based mainly on capture,native,Surge wrasse
Thalassoma quinquevittatum,,based mainly on capture,native,Fivestripe wrasse
Thalassoma trilobatum,Ladder wrasse,based mainly on capture,native,Christmas wrasse
Tilodon sexfasciatus,Moonlighter,,native,Moonlighter
Toxotes chatareus,,based mainly on capture,native,Spotted archerfish
Toxotes jaculatrix,Banded archerfish,based mainly on capture,native,Banded archerfish
Trichonotus setiger,,based mainly on capture,native,Spotted sand-diver
Trimma striatum,,based mainly on capture,native,Red-lined pygmygoby
Trimma tevegae,,,questionable,Tevegae pygmygoby
Upeneus sulphureus,Sunrise goatfish,,native,Sulphur goatfish
Upeneus tragula,,,native,Freckled goatfish
Upeneus vittatus,,,native,Yellowstriped goatfish
Uranoscopus bicinctus,Marbled stargazer,based mainly on capture,native,Marbled stargazer
Uranoscopus japonicus,,based mainly on capture,native,
Uropterygius concolor,,based mainly on capture,native,Unicolor snake moray
Valenciennea helsdingenii,,based mainly on capture,native,Twostripe goby
Valenciennea immaculata,,,native,Red-lined sleeper
Valenciennea longipinnis,Long-finned goby,based mainly on capture,native,Long-finned goby
Valenciennea muralis,,based mainly on capture,native,Mural goby
Valenciennea puellaris,Orange-dashed goby,based mainly on capture,native,Maiden goby
Valenciennea sexguttata,,based mainly on capture,native,Sixspot goby
Valenciennea strigata,,based mainly on capture,native,Blueband goby
Valenciennea wardii,,,native,Ward's sleeper
Vanderhorstia ambanoro,Ambanoro goby,based mainly on capture,native,Ambanoro prawn-goby
Vanderhorstia mertensi,,,native,Mertens' prawn-goby
Vanderhorstia ornatissima,,based mainly on capture,native,Ornate prawn-goby
Wetmorella nigropinnata,,based mainly on capture,native,Sharpnose wrasse
Xenojulis margaritacea,,based mainly on capture,native,Finspot wrasse
Xiphasia setifer,Hairtail blenny,based mainly on capture,native,Hairtail blenny
Xiphophorus maculatus,,based mainly on breeding,introduced,Southern platyfish
Zanclistius elevatus,,based mainly on capture,native,Longfin boarfish
Zanclus cornutus,,based mainly on capture,native,Moorish idol
Zebrasoma scopas,Brushtail tang,based mainly on capture,native,Twotone tang
Zebrasoma velifer,Sailfin tang,based mainly on capture,native,Sailfin tang
Zoramia gilberti,,based mainly on capture,native,Gilbert's cardinalfish
Zoramia leptacanthus,,based mainly on capture,native,Threadfin cardinalfish